Fib,Time
0,1.7940000134331058e-06
1,7.400000185953104e-07
2,5.330000476533314e-07
3,1.4109999710854026e-06
4,1.259999976355175e-06
5,1.8509999790694565e-06
6,2.8169999950478086e-06
7,4.76499997148494e-06
8,1.0339000027670409e-05
9,1.168100004633743e-05
10,1.8651999994290236e-05
11,3.0401999993046047e-05
12,4.8880000008466595e-05
13,7.891499990364537e-05
14,0.0001356700000769706
15,0.000708763000034196
16,0.00033636099999512226
17,0.000532152000005226
18,0.0008573490000571837
19,0.001496636999945622
20,0.006852798999943843
21,0.002808864000030553
22,0.005186639000044124
23,0.007165159000010135
24,0.01732432999995126
25,0.017554698000026292
26,0.029310170000030666
27,0.06126365000000078
28,0.07246634800003449
29,0.12421723399995699
30,0.19294506099993214
31,0.3293397449999702
32,0.5284969980000369
33,0.8561340850000079
34,1.3762081060000355
35,2.145569624000018
36,3.3952333910000334
37,5.542001716999948
38,8.943736686999955
39,14.438091072999896
40,23.901606484000013
41,38.166732738000064
42,61.75385356900006
43,99.83722222900019
44,181.45692761300006