Fib,Time
0,3.6999699659645557e-06
1,1.00000761449337e-06
2,1.0999501682817936e-06
3,1.5999539755284786e-06
4,3.900029696524143e-06
5,2.00001522898674e-06
6,2.0999577827751637e-06
7,4.099973011761904e-06
8,5.099980626255274e-06
9,6.89999433234334e-06
10,1.1299969628453255e-05
11,1.7599959392100573e-05
12,2.9099988751113415e-05
13,4.5000051613897085e-05
14,7.210002513602376e-05
15,0.0001666999887675047
16,0.0002970999921672046
17,0.0003970000543631613
18,0.000589100003708154
19,0.0008233999833464622
20,0.0013058999902568758
21,0.0021374999778345227
22,0.0032757000299170613
23,0.005243499996140599
24,0.00967329996638
25,0.013979399984236807
26,0.02447909995680675
27,0.03879870002856478
28,0.06172120000701398
29,0.09482729999581352
30,0.15853319998132065
31,0.24994120001792908
32,0.3935369999962859
33,0.608568900031969
34,0.9746631999732926
35,1.5609882000135258
36,2.5500837999861687
37,4.123432099993806
38,6.618840500013903
39,10.781180599995423
40,17.230606900004204
41,27.95570900000166
42,45.15687830001116
43,73.20106089999899
44,118.4134095000336
45,191.17020479997154
46,308.6093064000015
47,499.66455339995446